entry_ts,exit_ts,symbol,side,reason,qty,entry_price,exit_price,entry_eff,exit_eff,pnl,return_pct,hold_minutes,mfe,mae,entry_limit
2025-10-13 10:11:00-04:00,2025-10-13 10:14:00-04:00,ACON,long,atr_trail,1,11.253236285714285,11.101862714285714,11.263236285714285,11.091862714285714,-0.17137357142857113,-1.5215304649688677,3.0,0.14666371428571523,-0.2531362857142856,
2025-10-13 10:36:00-04:00,2025-10-13 10:38:00-04:00,AQMS,long,atr_trail,1,8.233749000000001,8.20655357142857,8.243749000000001,8.19655357142857,-0.04719542857143111,-0.572499582064312,2.0,0.586250999999999,-0.22374900000000153,
2025-10-13 10:57:00-04:00,2025-10-13 10:58:00-04:00,AQMS,long,target_R_hit,1,8.523699714285714,9.235205542857143,8.533699714285714,9.225205542857143,0.6915058285714295,8.103236013962679,1.0,1.066300285714286,-0.03369971428571361,
2025-10-13 10:58:00-04:00,2025-10-13 10:59:00-04:00,AQMS,long,target_R_hit,1,8.88413542857143,9.713252685714288,8.89413542857143,9.703252685714288,0.8091172571428586,9.097199650723308,1.0,0.9258645714285709,-0.2640354285714288,
2025-10-13 10:59:00-04:00,2025-10-13 11:01:00-04:00,AQMS,long,atr_trail,1,9.595178142857142,9.323783142857142,9.605178142857142,9.313783142857142,-0.2913949999999996,-3.0337282210293415,2.0,0.21482185714285862,-0.5651781428571425,
2025-10-13 11:16:00-04:00,2025-10-13 11:18:00-04:00,AQMS,long,atr_trail,1,10.48824842857143,10.291159285714285,10.49824842857143,10.281159285714285,-0.21708914285714442,-2.067860599167448,2.0,0.48175157142857117,-0.9782484285714297,
2025-10-13 11:17:00-04:00,2025-10-13 11:19:00-04:00,AQMS,long,atr_trail,1,10.978379,10.540381142857143,10.988379,10.530381142857143,-0.4579978571428569,-4.168020207010126,2.0,-0.2483789999999999,-1.4683790000000005,
2025-10-13 11:32:00-04:00,2025-10-13 11:39:00-04:00,AQMS,long,atr_trail,1,10.859183571428572,11.518167857142858,10.869183571428572,11.508167857142858,0.6389842857142867,5.878861843809147,7.0,1.3608164285714288,-0.1291835714285714,
2025-10-13 11:37:00-04:00,2025-10-13 11:39:00-04:00,AQMS,long,atr_trail,1,11.34908357142857,11.518167857142858,11.35908357142857,11.508167857142858,0.149084285714288,1.3124675487842907,2.0,0.8709164285714301,-0.4190835714285708,
2025-10-13 11:38:00-04:00,2025-10-13 11:40:00-04:00,AQMS,long,atr_trail,1,12.050040714285714,11.542151428571428,12.060040714285714,11.532151428571428,-0.5278892857142861,-4.377176646584413,2.0,0.16995928571428642,-1.0000407142857135,
2025-10-13 12:22:00-04:00,2025-10-13 12:24:00-04:00,AQMS,long,atr_trail,1,12.50990742857143,12.050746714285715,12.519907428571429,12.040746714285715,-0.4791607142857135,-3.8271905524814853,2.0,-0.2099074285714284,-0.9898074285714298,
2025-10-13 13:14:00-04:00,2025-10-13 13:16:00-04:00,AQMS,long,vwap_break,1,11.705649571428571,10.08,11.715649571428571,10.07,-1.6456495714285708,-14.046592648536393,2.0,0.04425042857142891,-1.6256495714285712,
2025-10-13 14:35:00-04:00,2025-10-13 14:36:00-04:00,AQMS,long,vwap_break,1,10.19886642857143,9.83,10.20886642857143,9.82,-0.38886642857142917,-3.8091048726341836,1.0,-0.0588664285714291,-0.4871664285714292,
2025-10-13 16:21:00-04:00,2025-10-13 16:22:00-04:00,AQMS,long,target_R_hit,1,12.004628571428572,13.962205714285716,12.014628571428572,13.952205714285716,1.937577142857144,16.12681683281334,1.0,1.9953714285714277,-0.38452857142857155,
2025-10-13 16:33:00-04:00,2025-10-13 16:40:00-04:00,AQMS,long,atr_trail,1,15.024254571428571,16.030665714285714,15.034254571428571,16.020665714285713,0.9864111428571416,6.561091128067886,7.0,2.425745428571428,-0.32425457142857184,
2025-10-13 16:34:00-04:00,2025-10-13 16:40:00-04:00,AQMS,long,atr_trail,1,17.22759742857143,16.22826314285714,17.23759742857143,16.21826314285714,-1.0193342857142902,-5.913435964252978,6.0,0.2224025714285709,-1.6475974285714283,
2025-10-13 16:48:00-04:00,2025-10-13 16:57:00-04:00,AQMS,long,atr_trail,1,18.020291,18.290080714285715,18.030291000000002,18.280080714285713,0.24978971428571128,1.3853892557014857,9.0,1.7797090000000004,-1.0202910000000003,
2025-10-13 16:49:00-04:00,2025-10-13 16:51:00-04:00,AQMS,long,atr_trail,1,18.77026742857143,17.884313857142857,18.78026742857143,17.874313857142855,-0.9059535714285758,-4.82396523305254,2.0,-0.1952674285714302,-1.7702674285714295,
2025-10-13 17:45:00-04:00,2025-10-13 17:52:00-04:00,AQMS,long,atr_trail,1,17.747561428571426,17.729511428571428,17.757561428571428,17.719511428571426,-0.038050000000001916,-0.21427491693076783,7.0,0.5524385714285742,-0.43756142857142777,
2025-10-13 17:49:00-04:00,2025-10-13 17:52:00-04:00,AQMS,long,atr_trail,1,18.308010857142857,17.922444428571428,18.31801085714286,17.912444428571426,-0.4055664285714329,-2.214030943284917,3.0,-0.008010857142856764,-0.6580108571428589,
2025-10-13 17:59:00-04:00,2025-10-13 18:03:00-04:00,AQMS,long,target_R_hit,1,19.169062,21.586537200000002,19.179062000000002,21.5765372,2.397475199999999,12.500482036087046,4.0,2.8309379999999997,-0.06906199999999885,
2025-10-13 18:00:00-04:00,2025-10-13 18:04:00-04:00,AQMS,long,target_R_hit,1,20.410404857142854,23.006485771428558,20.420404857142856,22.996485771428556,2.5760809142857006,12.615229386035477,4.0,2.7695951428571455,-1.0604048571428528,
2025-10-13 18:02:00-04:00,2025-10-13 18:07:00-04:00,AQMS,long,target_R_hit,1,21.131912571428572,23.354776114285713,21.141912571428573,23.34477611428571,2.2028635428571377,10.419414683580296,5.0,3.3580874285714266,-0.42191257142857097,
2025-10-13 18:04:00-04:00,2025-10-13 18:07:00-04:00,AQMS,long,target_R_hit,1,22.012855428571427,24.394484685714282,22.02285542857143,24.38448468571428,2.3616292571428517,10.723537939040284,3.0,2.477144571428571,-0.5128554285714273,
2025-10-13 18:05:00-04:00,2025-10-13 18:09:00-04:00,AQMS,long,atr_trail,1,23.194626857142858,22.965314285714285,23.20462685714286,22.955314285714284,-0.24931257142857532,-1.0744088795887397,4.0,2.605373142857143,-0.934626857142856,
2025-10-13 19:51:00-04:00,2025-10-13 19:55:00-04:00,AQMS,long,atr_trail,1,23.2,22.808107857142858,23.21,22.798107857142856,-0.4118921428571447,-1.774632239798124,4.0,0.3000000000000007,-0.9100000000000001,
2025-10-13 16:38:00-04:00,2025-10-13 16:41:00-04:00,ATON,long,atr_trail,1,7.503342857142857,7.721285714285715,7.513342857142857,7.711285714285715,0.1979428571428583,2.6345511033704083,3.0,0.4966571428571429,-0.053342857142856914,
